030050,99999,19300110,39.5,4,36.5,4,984.2,4,9999.9,0,9.3,4,6.2,4,8.9,999.9,42.1,37.0,0.00I,999.9,000000
030050,99999,19300116,40.7,4,37.2,4,1017.1,4,9999.9,0,9.3,4,5.0,4,8.9,999.9,43.0,37.0,0.00I,999.9,000000
030050,99999,19300118,47.3,4,44.8,4,1004.0,4,9999.9,0,9.3,4,11.0,4,13.0,999.9,48.0,46.0,0.00I,999.9,000000
030050,99999,19300127,37.8,4,34.0,4,1009.2,4,9999.9,0,9.3,4,0.5,4,1.9,999.9,44.1,35.1,99.99,999.9,010000
030050,99999,19300129,42.3,4,35.0,4,9999.9,0,9999.9,0,6.2,4,8.9,4,8.9,999.9,43.0,36.0,99.99,999.9,010000
030050,99999,19300206,38.5,4,33.0,4,1022.5,4,9999.9,0,12.4,4,13.0,4,13.0,999.9,39.9,35.1,0.00I,999.9,000000
030050,99999,19300213,42.8,4,38.0,4,1019.0,4,9999.9,0,9.3,4,11.0,4,13.0,999.9,48.0,42.1,0.00I,999.9,000000
030050,99999,19300216,36.0,4,32.5,4,1023.3,4,9999.9,0,10.9,4,4.2,4,13.0,999.9,39.0,30.0,0.00I,999.9,000000
030050,99999,19300222,41.5,4,37.3,4,1030.4,4,9999.9,0,6.2,4,1.5,4,1.9,999.9,46.0,39.0,0.00I,999.9,000000
030050,99999,19300223,41.0,4,36.3,4,1034.7,4,9999.9,0,9.3,4,4.0,4,8.9,999.9,44.1,36.0,0.00I,999.9,000000
030050,99999,19300308,43.7,4,42.0,4,9999.9,0,9999.9,0,5.3,4,8.3,4,13.0,999.9,46.0,39.9,99.99,999.9,010000
030050,99999,19300313,35.8,4,30.2,4,993.8,4,9999.9,0,8.4,4,18.5,4,29.9,999.9,37.0,32.0,99.99,999.9,001000
030050,99999,19300321,34.5,4,30.5,4,989.7,4,9999.9,0,8.1,4,4.7,4,13.0,999.9,39.0,30.9,99.99,999.9,001000
030050,99999,19300328,43.7,4,42.8,4,998.6,4,9999.9,0,6.2,4,9.0,4,13.0,999.9,48.9,42.1,99.99,999.9,010000
030050,99999,19300412,44.2,4,40.0,4,993.7,4,9999.9,0,10.9,4,6.0,4,8.9,999.9,46.9,39.9,0.00I,999.9,000000
030050,99999,19300414,42.8,4,39.5,4,1000.9,4,9999.9,0,10.9,4,4.8,4,8.9,999.9,46.0,39.9,0.00I,999.9,000000
030050,99999,19300608,50.5,4,46.2,4,1019.4,4,9999.9,0,12.4,4,4.8,4,8.9,999.9,53.1,45.0,0.00I,999.9,000000
030050,99999,19300609,50.7,4,49.7,4,1003.9,4,9999.9,0,3.1,4,14.2,4,29.9,999.9,55.0,48.9,99.99,999.9,010000
030050,99999,19300628,53.3,4,50.8,4,1001.9,4,9999.9,0,5.9,4,3.0,4,5.1,999.9,55.9,50.0,99.99,999.9,010000
030050,99999,19300710,52.8,4,43.0,4,1016.2,4,9999.9,0,9.3,4,8.9,4,8.9,999.9,57.9,48.9,99.99,999.9,010000
030050,99999,19300719,54.0,4,53.0,4,1000.6,4,9999.9,0,4.3,4,11.0,4,13.0,999.9,59.0,53.1,99.99,999.9,010000
030050,99999,19300722,53.3,4,51.5,4,1009.6,4,9999.9,0,5.3,4,10.0,4,13.0,999.9,57.0,51.1,99.99,999.9,010000
030050,99999,19300724,54.7,4,49.3,4,1012.3,4,9999.9,0,12.4,4,5.1,4,5.1,999.9,57.0,50.0,0.00I,999.9,000000
030050,99999,19300725,54.3,4,50.0,4,1014.1,4,9999.9,0,12.4,4,6.2,4,8.9,999.9,57.9,48.0,0.00I,999.9,000000
030050,99999,19300813,56.0,4,52.5,4,998.8,4,9999.9,0,12.4,4,4.0,4,8.9,999.9,62.1,53.1,0.00I,999.9,000000
030050,99999,19300814,54.5,4,52.8,4,987.6,4,9999.9,0,7.8,4,5.1,4,5.1,999.9,61.0,51.1,99.99,999.9,010000
030050,99999,19300815,56.5,4,53.8,4,998.1,4,9999.9,0,7.8,4,2.7,4,5.1,999.9,59.0,53.1,99.99,999.9,010000
030050,99999,19300822,55.8,4,54.7,4,996.1,4,9999.9,0,6.2,4,18.7,4,43.9,999.9,57.0,55.0,99.99,999.9,010000
030050,99999,19300828,58.5,4,56.5,4,1019.9,4,9999.9,0,8.4,4,2.2,4,5.1,999.9,66.0,57.0,0.00I,999.9,000010
030050,99999,19300830,55.0,4,49.5,4,1022.5,4,9999.9,0,12.4,4,8.0,4,8.9,999.9,57.0,53.1,0.00I,999.9,000000
030050,99999,19300831,52.7,4,47.5,4,1022.7,4,9999.9,0,10.9,4,4.3,4,5.1,999.9,57.9,50.0,99.99,999.9,010000
030050,99999,19300905,54.3,4,52.5,4,1013.7,4,9999.9,0,2.5,4,12.0,4,13.0,999.9,55.0,52.0,99.99,999.9,010000
030050,99999,19300907,52.5,4,51.4,4,1009.6,4,9999.9,0,1.0,4,1.0,4,1.9,999.9,57.0,50.0,0.00I,999.9,100000
030050,99999,19300917,50.5,4,42.0,4,1012.3,4,9999.9,0,12.4,4,10.0,4,13.0,999.9,55.0,48.9,0.00I,999.9,000000
030050,99999,19300920,53.8,4,50.5,4,993.0,4,9999.9,0,6.2,4,28.7,4,43.9,999.9,55.0,52.0,99.99,999.9,010000
030050,99999,19300921,54.0,4,50.0,4,999.0,4,9999.9,0,9.3,4,8.0,4,8.9,999.9,55.9,52.0,0.00I,999.9,000000
030050,99999,19300923,55.0,4,54.0,4,1002.1,4,9999.9,0,3.4,4,6.5,4,13.0,999.9,57.0,52.0,99.99,999.9,010000
